# Step Price Price_Change_Pct Simple_PnL Avellaneda_PnL Envelope_PnL
0 179.975510 -0.01 0.00 0.00 0.00
1 180.001942 0.00 0.00 0.00 0.00
2 179.961335 -0.02 0.00 0.00 0.00
3 179.960909 -0.02 0.00 0.00 0.00
4 179.988224 -0.01 0.00 0.00 0.00
5 179.973310 -0.01 0.00 0.00 0.00
6 179.895607 -0.06 0.00 0.00 -0.00
7 179.860133 -0.08 0.00 0.00 -0.00
8 179.864051 -0.08 0.00 0.00 -0.00
9 179.834820 -0.09 0.00 0.00 -0.00
10 179.918350 -0.05 0.00 0.00 -0.00
11 179.903781 -0.05 0.00 0.00 -0.00
12 179.867597 -0.07 0.00 0.00 -0.00
13 179.851332 -0.08 0.00 0.00 -0.00
14 179.889822 -0.06 0.00 0.00 -0.00
15 179.927720 -0.04 0.00 0.00 -0.00
16 179.930990 -0.04 0.00 0.00 -0.00
17 179.905703 -0.05 0.00 0.00 -0.00
18 179.950629 -0.03 0.00 0.00 -0.00
19 179.959231 -0.02 0.00 0.00 -0.00
20 179.978884 -0.01 0.00 0.00 0.00
21 179.960860 -0.02 0.00 0.00 -0.00
22 179.951789 -0.03 0.00 0.00 -0.00
23 179.967248 -0.02 0.00 0.00 -0.00
24 179.957823 -0.02 0.00 0.00 -0.00
25 179.995890 -0.00 0.00 0.00 0.00
26 180.075798 0.04 0.00 0.00 0.00
27 180.062506 0.03 0.00 0.00 0.00
28 180.056308 0.03 0.00 0.00 0.00
29 179.982426 -0.01 0.00 0.00 -0.00
30 179.946828 -0.03 0.00 0.00 -0.00
31 179.954700 -0.03 0.00 0.00 -0.00
32 179.926975 -0.04 0.00 0.00 -0.00
33 179.940215 -0.03 0.00 0.00 -0.00
34 179.955787 -0.02 0.00 0.00 -0.00
35 179.920274 -0.04 0.00 0.00 -0.00
36 179.919256 -0.04 0.00 0.00 -0.00
37 179.845979 -0.09 -0.00 0.00 -0.00
38 179.914607 -0.05 -0.00 0.00 -0.00
39 179.940344 -0.03 -0.00 0.00 -0.00
40 179.905407 -0.05 -0.00 0.00 -0.00
